Order Date,User Name,Product Name,Qty,Price,Total,Payment
2022-03-22 17:15:30,siddarth,V-GUARD 1 HP MOTOR,1,3000,3000,COD
2022-03-22 17:21:36,siddarth,V-GUARD 1 HP MOTOR,1,3000,3000,COD
2022-03-22 17:51:55,siddarth,HOLE DIGGER,1,16700,16700,COD
2022-03-22 18:07:06,siddarth,SPIC-UREA,1,350,350,COD
2022-03-24 15:45:22,siddarth,ROUNDUP 5L,1,1450,1450,Internet Banking
2022-03-24 16:12:42,siddarth,AIR PRESSURE PUMP,1,199,199,Internet Banking
2022-03-24 16:12:42,siddarth,ROUNDUP 5L,1,1450,1450,Internet Banking
2022-04-06 11:14:57,siddarth,PADDY (IR-20),1,28,28,Internet Banking
2022-04-06 11:33:41,siddarth,Mahindra Cultivator,1,32000,32000,Internet Banking
2022-04-06 11:33:41,siddarth,PADDY (IR-20),1,28,28,Internet Banking
2022-04-07 11:01:54,siddarth,ROUNDUP 1L,1,290,290,Internet Banking
2022-04-07 11:04:44,kavin,2-4-D,1,190,190,Internet Banking
2022-04-07 11:37:26,dhinakaran,TEXMO BOREWELL MOTOR,1,33000,33000,
2022-04-07 11:44:16,sidh,SPIC-UREA,1,350,350,COD
2022-04-07 11:47:21,siddarth,GRASS CUTTER,1,16300,16300,Internet Banking
2022-04-09 09:59:23,siddarth,PADDY (IR-20),1,28,28,COD
2022-04-09 10:00:00,siddarth,NORMAL CHAFF CUTTER,1,14500,14500,Internet Banking
2022-04-09 10:01:24,siddarth,ASPEE BATTERY SPRAYER,1,3750,3750,UPI Payment
2022-04-09 14:06:08,siddarth,Mahindra Cultivator,1,32000,32000,COD
2022-04-09 14:09:37,siddarth,Mahindra Cultivator,2,32000,64000,COD
2022-04-09 14:09:37,siddarth,PADDY (IR-20),1,28,28,COD
2022-04-11 14:42:35,siddarth,NORMAL CHAFF CUTTER,1,14500,14500,UPI Payment
2022-04-11 14:53:34,siddarth,Mahindra Cultivator,1,32000,32000,UPI Payment
2022-04-11 14:53:34,siddarth,AIR PRESSURE PUMP,1,199,199,UPI Payment
2022-04-11 14:53:34,siddarth,V-GUARD 1 HP MOTOR,3,3000,9000,UPI Payment
2022-04-15 20:17:16,siddarth,AIR PRESSURE PUMP,1,199,199,UPI Payment
2022-04-16 17:08:26,siddarth,Mahindra Cultivator,1,32000,32000,COD
2022-04-16 17:09:09,siddarth,ASPEE POWER SPRAYER,1,15500,15500,UPI Payment
2022-04-17 15:04:34,siddarth,ASPEE BATTERY SPRAYER,4,3750,15000,COD
2022-04-17 15:07:49,siddarth,Mahindra Cultivator,1,32000,32000,UPI Payment
2022-04-18 11:00:58,siddarth,ASPEE BATTERY SPRAYER,1,3750,3750,UPI Payment
2022-04-19 06:11:23,siddarth,NETAFIM Drip Roll,1,1450,1450,UPI Payment
2022-04-19 11:16:09,siddarth,NETAFIM Drip Roll,1,1450,1450,UPI Payment
2022-04-19 11:58:29,siddarth,NETAFIM Elbow 16mm,1,300,300,UPI Payment
